z2t_ID,ZipCode,SalesTaxRate,RateState,ReportingCodeState,RateCounty,ReportingCodeCounty,RateCity,ReportingCodeCity,RateSpecialDistrict,ReportingCodeSpecialDistrict,City,PostOffice,State,County,ShippingTaxable,PrimaryRecord,Values
51666,60051,7.00,6.25,,0.75,056-5000-6,,, -   ,,Johnsburg,McHenry,IL,McHenry,0,0,
51667,60051,7.00,6.25,,0.75,056-5000-6,,, -   ,,Lakemoor,McHenry,IL,McHenry,0,0,
51669,60051,7.00,6.25,,0.75,056-5000-6,,, -   ,,Volo,McHenry,IL,McHenry,0,0,
51668,60051,7.00,6.25,,0.75,056-5000-6,,, -   ,,McHenry,McHenry,IL,McHenry,0,1,
51670,60053,9.50,6.25,,2.25,016-5000-1, 1.00 ,016-0043-5, -   ,,Morton Grove,Morton Grove,IL,Cook,0,1,
51671,60055,9.50,6.25,,2.25,016-5000-1, 1.00 ,016-0054-0, -   ,,Mellon Financial Services,Palatine,IL,Cook,0,0,
51675,60055,9.50,6.25,,2.25,016-5000-1, 1.00 ,016-0054-0, -   ,,Palatine,Palatine,IL,Cook,0,1,
51676,60056,9.50,6.25,,2.25,016-5000-1, 1.00 ,016-0044-3, -   ,,Mount Prospect,Mount Prospect,IL,Cook,0,1,
51678,60060,8.00,6.25,,0.75,049-5000-6, 1.00 ,049-0035-9, -   ,,Long Grove,Mundelein,IL,Lake,0,0,
51679,60060,8.00,6.25,,0.75,049-5000-6, 1.00 ,049-0019-7, -   ,,Mundelein,Mundelein,IL,Lake,0,1,
51681,60061,7.00,6.25,,0.75,049-5000-6,,, -   ,,Vernon Hills,Vernon Hills,IL,Lake,0,1,
51680,60061,7.00,6.25,,0.75,049-5000-6,,, -   ,,Indian Creek,Vernon Hills,IL,Lake,0,0,
51682,60062,9.25,6.25,,2.25,016-5000-1, 0.75 ,016-0046-1, -   ,,Northbrook,Northbrook,IL,Cook,0,1,
51683,60064,7.00,6.25,,0.75,049-5000-6,,, -   ,,Abbott Park,North Chicago,IL,Lake,0,0,
51684,60064,7.00,6.25,,0.75,049-5000-6,,, -   ,,Downey,North Chicago,IL,Lake,0,0,
51685,60064,7.00,6.25,,0.75,049-5000-6,,, -   ,,North Chicago,North Chicago,IL,Lake,0,1,
51686,60065,9.25,6.25,,2.25,016-5000-1, 0.75 ,016-0046-1, -   ,,Northbrook,Northbrook,IL,Cook,0,1,
51691,60067,9.50,6.25,,2.25,016-5000-1, 1.00 ,016-0152-0, -   ,,Hoffman Estates,Palatine,IL,Cook,0,0,
51692,60067,9.50,6.25,,2.25,016-5000-1, 1.00 ,016-0054-0, -   ,,Inverness,Palatine,IL,Cook,0,0,
51693,60067,9.50,6.25,,2.25,016-5000-1, 1.00 ,016-0054-0, -   ,,Palatine,Palatine,IL,Cook,0,1,
51694,60068,9.50,6.25,,2.25,016-5000-1, 1.00 ,016-0056-7, -   ,,Park Ridge,Park Ridge,IL,Cook,0,1,
51696,60069,7.00,6.25,,0.75,049-5000-6,,, -   ,,Half Day,Lincolnshire,IL,Lake,0,0,
51695,60069,7.00,6.25,,0.75,049-5000-6,,, -   ,,Prairieview,Lincolnshire,IL,Lake,0,0,
51697,60069,7.00,6.25,,0.75,049-5000-6,,, -   ,,Lincolnshire,Lincolnshire,IL,Lake,0,1,
51699,60070,9.00,6.25,,2.25,016-5000-1, 0.50 ,016-0084-2, -   ,,Prospect Heights,Prospect Heights,IL,Cook,0,1,
51705,60071,7.00,6.25,,0.75,056-5000-6,,, -   ,,Solon Mills,Richmond,IL,McHenry,0,0,
51701,60071,7.00,6.25,,0.75,056-5000-6,,, -   ,,Richmond,Richmond,IL,McHenry,0,1,
51706,60072,7.00,6.25,,0.75,056-5000-6,,, -   ,,Ringwood,Ringwood,IL,McHenry,0,1,
51708,60073,7.00,6.25,,0.75,049-5000-6,,, -   ,,Hainesville,Round Lake,IL,Lake,0,0,
51710,60073,7.50,6.25,,0.75,049-5000-6, 0.50 ,049-0059-6, -   ,,Round Lake Beach,Round Lake,IL,Lake,0,0,
51711,60073,7.00,6.25,,0.75,049-5000-6,,, -   ,,Round Lake Heights,Round Lake,IL,Lake,0,0,
51712,60073,7.00,6.25,,0.75,049-5000-6,,, -   ,,Round Lake Park,Round Lake,IL,Lake,0,0,
51715,60073,8.00,6.25,,0.75,049-5000-6, 1.00 ,049-0036-7, -   ,,Volo,Round Lake,IL,Lake,0,0,
51709,60073,7.00,6.25,,0.75,049-5000-6,,, -   ,,Round Lake,Round Lake,IL,Lake,0,1,
51716,60074,9.50,6.25,,2.25,016-5000-1, 1.00 ,016-0054-0, -   ,,Kildeer,Palatine,IL,Cook,0,0,
51720,60074,9.50,6.25,,2.25,016-5000-1, 1.00 ,016-0054-0, -   ,,Palatine,Palatine,IL,Cook,0,1,
51721,60075,7.00,6.25,,0.75,049-5000-6,,, -   ,,Russell,Russell,IL,Lake,0,1,
51722,60076,9.50,6.25,,2.25,016-5000-1, 1.00 ,016-0045-1, -   ,,Skokie,Skokie,IL,Cook,0,1,
51723,60077,9.50,6.25,,2.25,016-5000-1, 1.00 ,016-0045-1, -   ,,Skokie,Skokie,IL,Cook,0,1,
51724,60078,9.50,6.25,,2.25,016-5000-1, 1.00 ,016-0054-0, -   ,,Palatine,Palatine,IL,Cook,0,1,
51725,60079,8.00,6.25,,0.75,049-5000-6, 1.00 ,049-0001-4, -   ,,Waukegan,Waukegan,IL,Lake,0,1,
51726,60081,7.00,6.25,,0.75,056-5000-6,,, -   ,,Spring Grove,Spring Grove,IL,McHenry,0,1,
51727,60082,8.50,6.25,,2.25,016-5000-1,,, -   ,,Techny,Techny,IL,Cook,0,1,
51728,60083,7.00,6.25,,0.75,049-5000-6,,, -   ,,Beach Park,Wadsworth,IL,Lake,0,0,
51730,60083,7.00,6.25,,0.75,049-5000-6,,, -   ,,Old Mill Creek,Wadsworth,IL,Lake,0,0,
51731,60083,7.00,6.25,,0.75,049-5000-6,,, -   ,,Wadsworth,Wadsworth,IL,Lake,0,1,
51736,60084,7.00,6.25,,0.75,049-5000-6,,, -   ,,Lake Barrington,Wauconda,IL,Lake,0,0,
51738,60084,7.00,6.25,,0.75,049-5000-6,,, -   ,,Wauconda,Wauconda,IL,Lake,0,1,
51739,60085,8.00,6.25,,0.75,049-5000-6, 1.00 ,049-0071-5, -   ,,Park City,Waukegan,IL,Lake,0,0,
51740,60085,8.00,6.25,,0.75,049-5000-6, 1.00 ,049-0001-4, -   ,,Waukegan,Waukegan,IL,Lake,0,1,
51742,60086,7.00,6.25,,0.75,049-5000-6,,, -   ,,Selective Service,North Chicago,IL,Lake,0,0,
51741,60086,7.00,6.25,,0.75,049-5000-6,,, -   ,,North Chicago,North Chicago,IL,Lake,0,1,
51743,60087,8.00,6.25,,0.75,049-5000-6, 1.00 ,049-0001-4, -   ,,Beach Park,Waukegan,IL,Lake,0,0,
51744,60087,8.00,6.25,,0.75,049-5000-6, 1.00 ,049-0001-4, -   ,,Waukegan,Waukegan,IL,Lake,0,1,
51745,60088,7.00,6.25,,0.75,049-5000-6,,, -   ,,Great Lakes,Great Lakes,IL,Lake,0,1,
51746,60088,7.00,6.25,,0.75,049-5000-6,,, -   ,,North Chicago,Great Lakes,IL,Lake,0,0,
51747,60089,8.00,6.25,,0.75,049-5000-6, 1.00 ,049-0043-1, -   ,,Buffalo Grove,Buffalo Grove,IL,Lake,0,1,
51751,60090,9.50,6.25,,2.25,016-5000-1, 1.00 ,016-0070-2, -   ,,Wheeling,Wheeling,IL,Cook,0,1,
51752,60091,8.75,6.25,,2.25,016-5000-1, 0.25 ,016-0072-9, -   ,,Wilmette,Wilmette,IL,Cook,0,1,
51753,60092,7.00,6.25,,0.75,049-5000-6,,, -   ,,Libertyville,Libertyville,IL,Lake,0,1,
51755,60093,8.50,6.25,,2.25,016-5000-1,,, -   ,,Northfield,Winnetka,IL,Cook,0,0,
51754,60093,8.50,6.25,,2.25,016-5000-1,,, -   ,,Hubbard Woods,Winnetka,IL,Cook,0,0,
51756,60093,8.50,6.25,,2.25,016-5000-1,,, -   ,,Winnetka,Winnetka,IL,Cook,0,1,
51757,60094,9.50,6.25,,2.25,016-5000-1, 1.00 ,016-0054-0, -   ,,Palatine,Palatine,IL,Cook,0,1,
51758,60095,9.50,6.25,,2.25,016-5000-1, 1.00 ,016-0054-0, -   ,,Palatine,Palatine,IL,Cook,0,1,
51759,60096,7.00,6.25,,0.75,049-5000-6,,, -   ,,Winthrop Harbor,Winthrop Harbor,IL,Lake,0,1,
51761,60097,7.00,6.25,,0.75,056-5000-6,,, -   ,,Bull Valley,Wonder Lake,IL,McHenry,0,0,
51762,60097,7.00,6.25,,0.75,056-5000-6,,, -   ,,Wonder Lake,Wonder Lake,IL,McHenry,0,1,
51767,60098,7.00,6.25,,0.75,056-5000-6,,, -   ,,Bull Valley,Woodstock,IL,McHenry,0,0,
51769,60098,7.00,6.25,,0.75,056-5000-6,,, -   ,,Greenwood,Woodstock,IL,McHenry,0,0,
51768,60098,7.00,6.25,,0.75,056-5000-6,,, -   ,,Woodstock,Woodstock,IL,McHenry,0,1,
51770,60099,7.00,6.25,,0.75,049-5000-6,,, -   ,,Beach Park,Zion,IL,Lake,0,0,
51771,60099,7.00,6.25,,0.75,049-5000-6,,, -   ,,Zion,Zion,IL,Lake,0,1,
51772,60101,8.00,6.25,,1.00,022-5000-7, 0.75 ,022-0002-3, -   ,,Addison,Addison,IL,Dupage,0,1,
