"RecordType"|"Company"|"Number"|"VendorGroup"|"Vendor"|"VendorName"|"TransactionDate"|"JCCo"|"Job"|"JobDescription"|"Description"|"DetailLineCount"|"TotalOrigCost"|"TotalOrigTax"|"RemainingAmount"|"RemainingTax"
"PO"|"1"|"1-13045038"|"1"|"54153"|"ALEXANDER GOW FIRE EQUIP"|"2/14/2013 12:00:00 AM"|"1"|" 11306-001"|"BGCKC - Renton"|"SUBCONTRACTS                  "|"1"|"89.00"|"0.00"|"89.00"|"0.00"
"PO"|"1"|"1-13045111"|"1"|"51910"|"NATIONAL SAFETY, INC."|"2/14/2013 12:00:00 AM"|"1"|" 12594-001"|"T-Mobile Nexus"|"MISC ITEMS                    "|"1"|"1.00"|"0.00"|"1.00"|"0.00"
"PO"|"1"|"1-13045147"|"1"|"54833"|"NOTIFACT, LLC"|"2/14/2013 12:00:00 AM"|"1"|" 11320-001"|"Panasonic Service"|"SUBCONTRACTS                  "|"1"|"300.00"|"0.00"|"40.00"|"0.00"
"PO"|"1"|"1-13046023"|"1"|"50710"|"DELIVERY EXPRESS INC"|"2/15/2013 12:00:00 AM"|"1"|" 11176-001"|"UNIVERSAL AVIONICS"|"MISC ITEMS                    "|"1"|"1.00"|"0.00"|"1.00"|"0.00"
"PO"|"1"|"1-13046110"|"1"|"51105"|"GRAINGER INC"|"2/15/2013 12:00:00 AM"|"1"|" 11197-001"|"Commerce Parkview"|"HVAC MATERIALS                "|"1"|"10.76"|"0.00"|"0.60"|"0.00"
"PO"|"1"|"1-13049042"|"1"|"52797"|"TOTAL FILTRATION SERVICES"|"2/18/2013 12:00:00 AM"|"1"|" 11283-001"|"LA FITNESS - REDONDO"|"MISC ITEMS                    "|"1"|"179.55"|"0.00"|"179.55"|"0.00"
"PO"|"1"|"1-13053047"|"1"|"55357"|"US WATER SERVICES INC"|"2/22/2013 12:00:00 AM"|"1"|" 11368-001"|"Bear Creek Business"|"MISC ITEMS                    "|"1"|"3400.00"|"0.00"|"0.04"|"0.00"
"PO"|"1"|"1-13053110"|"1"|"52797"|"TOTAL FILTRATION SERVICES"|"2/22/2013 12:00:00 AM"|"1"|" 11269-001"|"Rexam"|"HVAC MATERIALS                "|"1"|"89.44"|"0.00"|"31.97"|"0.00"
"PO"|"1"|"1-13056097"|"1"|"51730"|"MCGUIRE BEARING CO-SEA"|"2/25/2013 12:00:00 AM"|"1"|" 10852-001"|"Kirkland 405 Office"|"MISC ITEMS                    "|"1"|"201.30"|"0.00"|"67.10"|"0.00"
"PO"|"1"|"1-13057093"|"1"|"52797"|"TOTAL FILTRATION SERVICES"|"2/26/2013 12:00:00 AM"|"1"|" 11269-001"|"Rexam"|"HVAC MATERIALS                "|"1"|"935.50"|"0.00"|"470.97"|"0.00"
