"Company"|"InvoiceNumber"|"CustGroup"|"Customer"|"CustomerName"|"TransactionDate"|"InvoiceDescription"|"DetailLineCount"|"AmountDue"|"OriginalAmount"|"Tax"
"101"|"     19242"|"101"|"206647"|"GLY Construction         "|"7/15/2013 12:00:00 AM"|"PO #8914            "|"1"|"2274.70"|"0.00"|"0.00"
"101"|"     19245"|"101"|"206647"|"GLY Construction         "|"7/17/2013 12:00:00 AM"|"RETENTION           "|"2"|"1443.05"|"0.00"|"0.00"
"101"|"     19246"|"101"|"206647"|"GLY Construction         "|"7/17/2013 12:00:00 AM"|"RETENTION           "|"1"|"923.19"|"0.00"|"0.00"
"101"|"     19247"|"101"|"206647"|"GLY Construction         "|"7/17/2013 12:00:00 AM"|"RETENTION           "|"1"|"5783.00"|"0.00"|"0.00"
"101"|"     19248"|"101"|"206647"|"GLY Construction         "|"7/17/2013 12:00:00 AM"|"RETENTION           "|"1"|"7273.00"|"0.00"|"0.00"
"101"|"     19250"|"101"|"207677"|"Hoffman Construction     "|"7/18/2013 12:00:00 AM"|"RETENTION - PARTIAL "|"1"|"174935.05"|"0.00"|"0.00"
"101"|"     19250"|"101"|"208500"|"JR Abbott Construction   "|"8/23/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"1"|"2376.00"|"2376.00"|"0.00"
"101"|"     19251"|"101"|"210313"|"Lydig Construction       "|"7/19/2013 12:00:00 AM"|"RETENTION           "|"2"|"367537.52"|"0.00"|"0.00"
"101"|"     19252"|"101"|"210062"|"Lease Crutcher Lewis     "|"7/30/2013 12:00:00 AM"|"RETENTION BILLING   "|"1"|"350.00"|"0.00"|"0.00"
"101"|"     19253"|"101"|"207677"|"Hoffman Construction     "|"7/31/2013 12:00:00 AM"|"RETENTION BILLING   "|"1"|"50.25"|"0.00"|"0.00"
"101"|"     19254"|"101"|"201703"|"BNBuilders               "|"8/1/2013 12:00:00 AM"|"RETENTION           "|"2"|"16697.78"|"0.00"|"0.00"
"101"|"     19255"|"101"|"207331"|"Hoffman Structures Inc   "|"8/7/2013 12:00:00 AM"|"RETENTION BILLING   "|"1"|"99366.11"|"0.00"|"0.00"
"101"|"     19258"|"101"|"207391"|"HOWARD S WRIGHT          "|"8/9/2013 12:00:00 AM"|"RETENTION           "|"2"|"22025.00"|"0.00"|"0.00"
"101"|"     19258"|"101"|"215593"|"Schuchart Corporation    "|"8/9/2013 12:00:00 AM"|"RETENTION BILLING   "|"1"|"484.20"|"0.00"|"0.00"
"101"|"     19259"|"101"|"207758"|"Howard S Wright          "|"8/12/2013 12:00:00 AM"|"RETENTION BILLING   "|"2"|"36718.70"|"0.00"|"0.00"
"101"|"     19259"|"101"|"209504"|"Kitsap Credit Union      "|"8/23/2013 12:00:00 AM"|"SERVICEALLIANCE     "|"2"|"39354.47"|"39354.47"|"0.00"
"101"|"     19260"|"101"|"207758"|"Howard S Wright          "|"8/12/2013 12:00:00 AM"|"RETENTION BILLING   "|"2"|"36570.55"|"0.00"|"0.00"
"101"|"     19261"|"101"|"210313"|"Lydig Construction       "|"8/1/2013 12:00:00 AM"|"RETENTION           "|"1"|"14.85"|"0.00"|"0.00"
